@oneray	46,197.656 BLURT(+87.712 BLURT)SAVINGS	 Voted 14 Witnesses
@oracle-exchange	0.000 BLURTSAVINGS	 Voted 1 Witnesses
@oredebby	6,033.821 BLURT(-5,006.622 BLURT)SAVINGS	 Voted 1 Witnesses
@orjimart	5.032 BLURTSAVINGS	 Voted 1 Witnesses
@owasco	103,168.301 BLURT(+11,178.214 BLURT)SAVINGS	 Voted 4 Witnesses
@parkname	453,753.330 BLURT(-422,726.255 BLURT)SAVINGS	 Voted 12 Witnesses
@phlexygee	0.000 BLURTSAVINGS	 Voted 1 Witnesses
@piya	90.617 BLURTSAVINGS	 Voted 2 Witnesses
@princessbusayo	5.028 BLURTSAVINGS	 Voted 5 Witnesses
@rajitsear	54,928.987 BLURT(+204,551.211 BLURT)SAVINGS	 Voted 1 Witnesses
@rtytf	786,813.990 BLURT(-583,976.094 BLURT)SAVINGS	 Voted 7 Witnesses
@rubina	11,515.908 BLURTSAVINGS	 Voted 3 Witnesses
@sabihaislam	1,513.402 BLURTSAVINGS	 Voted 1 Witnesses
@saboin	4,428,607.712 BLURT(-1,309,305.636 BLURT)SAVINGS	 Voted 19 Witnesses
@sabus	2,836.526 BLURTSAVINGS	 Voted 2 Witnesses
@sadique	5,987.237 BLURT(+99.741 BLURT)SAVINGS	 Voted 13 Witnesses
@samhenrytenplus	26,220.678 BLURT(+4,098.154 BLURT)SAVINGS	 Voted 2 Witnesses
@samsuccess	4,662.194 BLURTSAVINGS	 Voted 3 Witnesses
@shani.chaudhary	1,156.530 BLURT(-10.320 BLURT)SAVINGS	 Voted 2 Witnesses
@sheikhtuhin	42.093 BLURTSAVINGS	 Voted 4 Witnesses
@simonnwigwe	416.369 BLURTSAVINGS	 Voted 2 Witnesses
@smoothini	11.110 BLURTSAVINGS	 Voted 1 Witnesses
@smyle	417.668 BLURTSAVINGS	 Voted 1 Witnesses
@stephen	484.752 BLURTSAVINGS	 Voted 1 Witnesses
@sunnysax	717.865 BLURT(-712.917 BLURT)SAVINGS	 Voted 1 Witnesses
@synergized	201.628 BLURT(-100.710 BLURT)SAVINGS	 Voted 30 Witnesses
@tempertantric	7,163.487 BLURT(+8,599.930 BLURT)SAVINGS	 Voted 30 Witnesses
@tiwaladey	344.183 BLURTSAVINGS	 Voted 1 Witnesses
@tripplem	1,695.386 BLURT(-513.979 BLURT)SAVINGS	 Voted 1 Witnesses
@tsfungame	11,082.534 BLURTSAVINGS	 Voted 2 Witnesses
@tyokoholalpha	3,250.287 BLURT(-51.251 BLURT)SAVINGS	 Voted 7 Witnesses
@verattinichin	30.968 BLURTSAVINGS	 Voted 1 Witnesses
@wealthymary	2,301.924 BLURTSAVINGS	 Voted 6 Witnesses
@wizzypronichin	5.038 BLURTSAVINGS	 Voted 1 Witnesses
@yakubenko	153,267.826 BLURT(+5,024.254 BLURT)SAVINGS	 Voted 20 Witnesses
@yateghteghs	146,199.377 BLURT(-15,012.489 BLURT)SAVINGS	 Voted 5 Witnesses
@zahidsun	954,972.556 BLURT(-35,262.257 BLURT)SAVINGS	 Voted 17 Witnesses

